INFO  - 2017-11-01 09:45:59.219; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-11-01 09:45:59.241; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/jack/software/solr-4.7.0/example/contexts at interval 0
INFO  - 2017-11-01 09:45:59.247; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/jack/software/solr-4.7.0/example/contexts/solr-jetty-context.xml
INFO  - 2017-11-01 09:45:59.294; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/jack/software/solr-4.7.0/example/webapps/solr.war!/ to /Users/jack/software/solr-4.7.0/example/solr-webapp/webapp
INFO  - 2017-11-01 09:46:00.394; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-11-01 09:46:00.441; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-11-01 09:46:00.456; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-11-01 09:46:00.457; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-11-01 09:46:00.459; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-11-01 09:46:00.549; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/jack/software/solr-4.7.0/example/solr/solr.xml
INFO  - 2017-11-01 09:46:00.651; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/jack/software/solr-4.7.0/example/solr
INFO  - 2017-11-01 09:46:00.662; org.apache.solr.core.CoreContainer; New CoreContainer 812586739
INFO  - 2017-11-01 09:46:00.662; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-11-01 09:46:00.670; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-11-01 09:46:00.671; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-11-01 09:46:00.674; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-11-01 09:46:00.676; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-11-01 09:46:00.676; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-11-01 09:46:00.676; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-11-01 09:46:00.676; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-11-01 09:46:00.677; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-11-01 09:46:00.677; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-11-01 09:46:00.916; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-11-01 09:46:00.917; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-11-01 09:46:00.918; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-11-01 09:46:01.118; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/jack/software/solr-4.7.0/example/solr
INFO  - 2017-11-01 09:46:01.125; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/jack/software/solr-4.7.0/example/solr/collection1/
